Shipping_ID,Courier,Shipping_Mode,Warehouse,Region
1,XpressBees,Standard,WH_1,East
2,Ekart,Express,WH_2,West
3,BlueDart,Express,WH_3,East
4,Ecom,Express,WH_4,East
5,Ekart,Express,WH_5,West
6,Delhivery,Standard,WH_6,South
7,BlueDart,Standard,WH_7,North
8,Ecom,Standard,WH_8,East
9,XpressBees,Same Day,WH_9,South
10,BlueDart,Standard,WH_10,West
11,Delhivery,Express,WH_11,East
12,XpressBees,Same Day,WH_12,North
13,Ekart,Standard,WH_13,West
14,Ekart,Standard,WH_14,South
15,BlueDart,Same Day,WH_15,South
