Product_ID,Product_Name,Category,Brand,Supplier,Cost_Price,MRP,Margin_Percentage
1,Jeans,Fashion,Urban,Supplier_21,2727,5240.97,47.97
2,Handbag,Fashion,Elite,Supplier_1,2078,4960.89,58.11
3,Dress,Fashion,HomeEase,Supplier_27,227,476.81,52.39
4,Handbag,Fashion,Prime,Supplier_7,749,1452.99,48.45
5,Dress,Fashion,TrendX,Supplier_25,843,1986.63,57.57
6,Lipstick,Beauty,Urban,Supplier_11,3413,7543.5,54.76
7,Perfume,Beauty,Nova,Supplier_12,4963,15745.68,68.48
8,Yoga Mat,Sports,NextGen,Supplier_7,452,785.83,42.48
9,Jeans,Fashion,Glow,Supplier_7,2255,4258.12,47.04
10,Badminton Racket,Sports,HomeEase,Supplier_30,3004,5582.66,46.19
11,Cricket Bat,Sports,StyleHub,Supplier_40,3936,6715.74,41.39
12,Mattress,Home & Kitchen,HomeEase,Supplier_11,791,1586.95,50.16
13,Camera,Electronics,Prime,Supplier_16,804,1030.73,22
14,Serum,Beauty,Elite,Supplier_9,895,2162.01,58.6
15,Face Wash,Beauty,PowerGear,Supplier_9,4848,12974.53,62.63
16,Yoga Mat,Sports,ProMax,Supplier_21,4803,10188.49,52.86
17,Shampoo,Beauty,TrendX,Supplier_22,3552,11019.26,67.77
18,Mixer,Home & Kitchen,TrendX,Supplier_29,478,747.25,36.03
19,Football,Sports,PowerGear,Supplier_38,1360,2903.33,53.16
20,Jacket,Fashion,TrendX,Supplier_25,325,716.76,54.66
21,Headphones,Electronics,PowerGear,Supplier_29,2880,3939.38,26.89
22,T-Shirt,Fashion,HomeEase,Supplier_7,1345,3228.73,58.34
23,Mobile,Electronics,Urban,Supplier_29,293,407.15,28.04
24,T-Shirt,Fashion,TrendX,Supplier_24,1833,3586.23,48.89
25,Shampoo,Beauty,StyleHub,Supplier_21,207,414.62,50.07
26,Perfume,Beauty,Urban,Supplier_39,1787,4132.92,56.76
27,T-Shirt,Fashion,TrendX,Supplier_36,3415,7574.11,54.91
28,Dumbbell,Sports,Prime,Supplier_4,2174,4130.88,47.37
29,Shoes,Fashion,TrendX,Supplier_9,1939,3675.61,47.25
30,Chair,Home & Kitchen,ProMax,Supplier_1,4257,8430.97,49.51
31,Tablet,Electronics,Nova,Supplier_5,3362,4137.07,18.73
32,Badminton Racket,Sports,ProMax,Supplier_26,655,1478.16,55.69
33,Serum,Beauty,Urban,Supplier_37,2098,6322.24,66.82
34,Headphones,Electronics,Prime,Supplier_34,2463,3020.03,18.44
35,Jeans,Fashion,ProMax,Supplier_12,1094,1979.36,44.73
36,Lamp,Home & Kitchen,FitLife,Supplier_20,755,1440.58,47.59
37,Headphones,Electronics,FitLife,Supplier_40,2606,3235.38,19.45
38,Cricket Bat,Sports,Glow,Supplier_25,2069,4294.35,51.82
39,Face Wash,Beauty,StyleHub,Supplier_5,3372,10539.19,68.01
40,Shoes,Fashion,Glow,Supplier_19,336,737.49,54.44
41,Lamp,Home & Kitchen,FitLife,Supplier_14,1792,2934.56,38.93
42,Badminton Racket,Sports,Nova,Supplier_31,3867,6638.83,41.75
43,Tablet,Electronics,Prime,Supplier_31,2730,3657.68,25.36
44,Dumbbell,Sports,Elite,Supplier_36,662,1092.32,39.4
45,Treadmill,Sports,Glow,Supplier_21,1304,2971.93,56.12
46,Perfume,Beauty,Urban,Supplier_27,474,1083.5,56.25
47,Smartwatch,Electronics,FitLife,Supplier_31,3787,5007.17,24.37
48,Jacket,Fashion,StyleHub,Supplier_27,2851,6888.9,58.61
49,Perfume,Beauty,Apex,Supplier_29,3177,8079.52,60.68
50,Chair,Home & Kitchen,FitLife,Supplier_37,4445,7672.95,42.07
51,Camera,Electronics,Apex,Supplier_28,1121,1573.99,28.78
52,Lipstick,Beauty,Glow,Supplier_3,2102,5283.15,60.21
53,Mixer,Home & Kitchen,HomeEase,Supplier_14,3589,6720.19,46.59
54,Headphones,Electronics,TrendX,Supplier_4,2029,2566.27,20.94
55,Handbag,Fashion,SmartOne,Supplier_35,2651,6441.83,58.85
56,Football,Sports,Nova,Supplier_22,2200,4014.38,45.2
57,Tablet,Electronics,HomeEase,Supplier_35,2962,4089.39,27.57
58,Camera,Electronics,Glow,Supplier_6,1859,2604.5,28.62
59,Face Wash,Beauty,Vision,Supplier_25,4503,14029.58,67.9
60,Dumbbell,Sports,Glow,Supplier_2,2255,3948.32,42.89
61,Handbag,Fashion,NextGen,Supplier_12,4758,11873.61,59.93
62,Moisturizer,Beauty,NextGen,Supplier_37,986,2914.45,66.17
63,Mixer,Home & Kitchen,SmartOne,Supplier_26,1639,2618.55,37.41
64,Shoes,Fashion,Apex,Supplier_24,2171,4288.8,49.38
65,Mixer,Home & Kitchen,Prime,Supplier_17,4616,9824.13,53.01
66,Laptop,Electronics,TrendX,Supplier_31,2102,2704.83,22.29
67,Shoes,Fashion,TrendX,Supplier_24,2680,4841.02,44.64
68,Face Wash,Beauty,Elite,Supplier_24,3694,10288.13,64.09
69,Headphones,Electronics,Vision,Supplier_14,3622,4502.71,19.56
70,Table,Home & Kitchen,Nova,Supplier_37,3367,6992.6,51.85
71,Shoes,Fashion,PowerGear,Supplier_14,4659,10084.25,53.8
72,Lipstick,Beauty,Glow,Supplier_11,839,1973.51,57.49
73,Lipstick,Beauty,Nova,Supplier_33,4411,13535.86,67.41
74,Lamp,Home & Kitchen,StyleHub,Supplier_15,4292,6709.31,36.03
75,Mobile,Electronics,TrendX,Supplier_12,978,1188.53,17.71
76,Dress,Fashion,Apex,Supplier_30,2445,4945.52,50.56
77,Dumbbell,Sports,HomeEase,Supplier_20,1447,2957.23,51.07
78,Dumbbell,Sports,SmartOne,Supplier_4,853,1806.52,52.78
79,Jacket,Fashion,Apex,Supplier_13,250,553.45,54.83
80,Badminton Racket,Sports,Prime,Supplier_2,1067,1940.43,45.01
81,Shampoo,Beauty,StyleHub,Supplier_10,4227,12885.45,67.2
82,Smartwatch,Electronics,HomeEase,Supplier_37,3060,3714.82,17.63
83,Shoes,Fashion,PowerGear,Supplier_1,2379,5692.94,58.21
84,Lipstick,Beauty,PowerGear,Supplier_2,4425,8985.59,50.75
85,Shampoo,Beauty,Prime,Supplier_32,3841,8706.97,55.89
86,Tablet,Electronics,PowerGear,Supplier_36,3928,5278.16,25.58
87,Shoes,Fashion,HomeEase,Supplier_5,4943,8917.42,44.57
88,Lamp,Home & Kitchen,Glow,Supplier_26,1682,3699.7,54.54
89,Cricket Bat,Sports,StyleHub,Supplier_21,1184,2694.08,56.05
90,Smartwatch,Electronics,FitLife,Supplier_19,2067,2990.36,30.88
91,T-Shirt,Fashion,Glow,Supplier_17,2223,5072,56.17
92,Dumbbell,Sports,SmartOne,Supplier_15,1444,2609.28,44.66
93,Serum,Beauty,HomeEase,Supplier_23,3419,7929.42,56.88
94,Cricket Bat,Sports,HomeEase,Supplier_27,1765,2942.64,40.02
95,Jeans,Fashion,PowerGear,Supplier_33,583,1380.83,57.78
96,Serum,Beauty,Glow,Supplier_32,1066,2844.63,62.53
97,T-Shirt,Fashion,FitLife,Supplier_7,686,1466.88,53.23
98,Smartwatch,Electronics,Apex,Supplier_26,1222,1614.39,24.31
99,Badminton Racket,Sports,SmartOne,Supplier_14,4329,9754.98,55.62
100,Perfume,Beauty,TrendX,Supplier_4,2478,6271.77,60.49
101,Table,Home & Kitchen,FitLife,Supplier_14,2357,3709.77,36.47
102,Badminton Racket,Sports,ProMax,Supplier_1,1460,2934.51,50.25
103,Cookware,Home & Kitchen,NextGen,Supplier_22,4958,8832.71,43.87
104,Shampoo,Beauty,Nova,Supplier_14,3259,7650.84,57.4
105,Smartwatch,Electronics,HomeEase,Supplier_5,1808,2350.57,23.08
106,Shoes,Fashion,Urban,Supplier_40,2199,5322.64,58.69
107,T-Shirt,Fashion,NextGen,Supplier_26,1913,4464.96,57.16
108,Headphones,Electronics,Urban,Supplier_19,4601,6650.38,30.82
109,Laptop,Electronics,Apex,Supplier_18,888,1121.98,20.85
110,Lipstick,Beauty,TrendX,Supplier_30,3882,12202.36,68.19
111,Cricket Bat,Sports,Glow,Supplier_15,2739,5301.31,48.33
112,Dumbbell,Sports,Glow,Supplier_14,970,1566.42,38.08
113,Moisturizer,Beauty,NextGen,Supplier_32,4955,10029.98,50.6
114,Table,Home & Kitchen,PowerGear,Supplier_33,2476,5196.73,52.35
115,Dumbbell,Sports,TrendX,Supplier_21,3918,7881.98,50.29
116,Dumbbell,Sports,StyleHub,Supplier_22,1683,3003.45,43.96
117,Moisturizer,Beauty,NextGen,Supplier_11,3637,8954.45,59.38
118,Cricket Bat,Sports,SmartOne,Supplier_36,4732,10385.07,54.43
